# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=643996713
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=100
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sn_mean_logit_score_prior,sn_sd_log_sd_student_logit_score_prior,sn_student_logit_score_prior.1,sn_student_logit_score_prior.2,sn_student_logit_score_prior.3,sn_student_logit_score_prior.4,sn_student_logit_score_prior.5,sn_student_logit_score_prior.6,sn_student_logit_score_prior.7,sn_student_logit_score_prior.8,sn_student_logit_score_prior.9,sn_student_logit_score_prior.10,sn_student_logit_score_prior.11,sn_student_logit_score_prior.12,sn_student_logit_score_prior.13,sn_sd_log_sd_evaluator_logit_score_prior,sn_evaluator_logit_score_prior.1,sn_evaluator_logit_score_prior.2,sn_evaluator_logit_score_prior.3,sn_evaluator_logit_score_prior.4,sn_evaluator_logit_score_prior.5,sn_evaluator_logit_score_prior.6,sn_evaluator_logit_score_prior.7,sn_evaluator_logit_score_prior.8,sn_evaluator_logit_score_prior.9,sn_evaluator_logit_score_prior.10,sn_evaluator_logit_score_prior.11,sn_evaluator_logit_score_prior.12,sn_sd_log_sd_dimension_logit_score_prior,sn_dimension_logit_score_prior.1,sn_dimension_logit_score_prior.2,sn_dimension_logit_score_prior.3,sn_dimension_logit_score_prior.4,sn_dimension_logit_score_prior.5,sn_dimension_logit_score_prior.6,sn_dimension_logit_score_prior.7,sn_mean__d_logit_score__d_ntest_prior,p_sn_mean_logit_score_prior,p_sn_sd_log_sd_student_logit_score_prior,p_sn_student_logit_score_prior.1,p_sn_student_logit_score_prior.2,p_sn_student_logit_score_prior.3,p_sn_student_logit_score_prior.4,p_sn_student_logit_score_prior.5,p_sn_student_logit_score_prior.6,p_sn_student_logit_score_prior.7,p_sn_student_logit_score_prior.8,p_sn_student_logit_score_prior.9,p_sn_student_logit_score_prior.10,p_sn_student_logit_score_prior.11,p_sn_student_logit_score_prior.12,p_sn_student_logit_score_prior.13,p_sn_sd_log_sd_evaluator_logit_score_prior,p_sn_evaluator_logit_score_prior.1,p_sn_evaluator_logit_score_prior.2,p_sn_evaluator_logit_score_prior.3,p_sn_evaluator_logit_score_prior.4,p_sn_evaluator_logit_score_prior.5,p_sn_evaluator_logit_score_prior.6,p_sn_evaluator_logit_score_prior.7,p_sn_evaluator_logit_score_prior.8,p_sn_evaluator_logit_score_prior.9,p_sn_evaluator_logit_score_prior.10,p_sn_evaluator_logit_score_prior.11,p_sn_evaluator_logit_score_prior.12,p_sn_sd_log_sd_dimension_logit_score_prior,p_sn_dimension_logit_score_prior.1,p_sn_dimension_logit_score_prior.2,p_sn_dimension_logit_score_prior.3,p_sn_dimension_logit_score_prior.4,p_sn_dimension_logit_score_prior.5,p_sn_dimension_logit_score_prior.6,p_sn_dimension_logit_score_prior.7,p_sn_mean__d_logit_score__d_ntest_prior,g_sn_mean_logit_score_prior,g_sn_sd_log_sd_student_logit_score_prior,g_sn_student_logit_score_prior.1,g_sn_student_logit_score_prior.2,g_sn_student_logit_score_prior.3,g_sn_student_logit_score_prior.4,g_sn_student_logit_score_prior.5,g_sn_student_logit_score_prior.6,g_sn_student_logit_score_prior.7,g_sn_student_logit_score_prior.8,g_sn_student_logit_score_prior.9,g_sn_student_logit_score_prior.10,g_sn_student_logit_score_prior.11,g_sn_student_logit_score_prior.12,g_sn_student_logit_score_prior.13,g_sn_sd_log_sd_evaluator_logit_score_prior,g_sn_evaluator_logit_score_prior.1,g_sn_evaluator_logit_score_prior.2,g_sn_evaluator_logit_score_prior.3,g_sn_evaluator_logit_score_prior.4,g_sn_evaluator_logit_score_prior.5,g_sn_evaluator_logit_score_prior.6,g_sn_evaluator_logit_score_prior.7,g_sn_evaluator_logit_score_prior.8,g_sn_evaluator_logit_score_prior.9,g_sn_evaluator_logit_score_prior.10,g_sn_evaluator_logit_score_prior.11,g_sn_evaluator_logit_score_prior.12,g_sn_sd_log_sd_dimension_logit_score_prior,g_sn_dimension_logit_score_prior.1,g_sn_dimension_logit_score_prior.2,g_sn_dimension_logit_score_prior.3,g_sn_dimension_logit_score_prior.4,g_sn_dimension_logit_score_prior.5,g_sn_dimension_logit_score_prior.6,g_sn_dimension_logit_score_prior.7,g_sn_mean__d_logit_score__d_ntest_prior
-5986.75,1,0.015625,1,1,0,19613,0.157778,-0.995806,0.5972,-1.05151,1.33419,1.65778,1.63914,-0.353649,1.77821,1.19605,1.54356,-2.02247,-1.42531,1.78725,1.25231,-1.09834,0.905836,-0.244634,-1.30916,0.682244,1.71164,-0.600913,-0.936081,1.16104,-0.0712628,-1.40528,0.962817,-1.77233,-1.57461,0.904116,0.298413,0.768228,-1.8341,-1.14345,0.87089,-1.84947,0.460258,2.82465,-13.7289,-0.358671,1.96543,-1.34526,-1.34004,-2.15195,4.28436,-0.376946,-1.19834,-0.687172,0.179434,0.143462,-1.06271,0.440605,-152.949,-25.5529,13.0569,6.55967,-4.33541,-7.16158,6.91593,37.3316,-19.0827,3.40279,18.2521,-19.6841,8.5235,-7.64925,-0.299714,-1.32687,-2.06544,0.0527387,1.90871,-2.93313,0.618727,2.06383,238.999,1656.15,22.9587,-186.404,66.1202,77.2778,157.087,-177.751,82.6854,147.3,138.065,-291.878,-78.8299,191.164,72.1682,962.731,239.476,-54.7305,-33.8948,48.8948,104.134,-14.1658,-258.613,172.931,-10.7466,-92.4961,185.173,-89.3948,636.926,130.708,39.0686,141.325,-100.657,-91.9759,162.879,-141.375,-48.8584
-3139.17,8.68122e-23,0.242776,1,3,1,3152.22,0.0081683,-2.44857,0.181026,-0.236369,-0.35131,-0.736699,0.0484695,1.02084,-0.667274,-0.549819,0.400011,-0.493973,-1.48625,0.287463,0.541419,-1.58339,0.295978,0.850486,0.259303,-0.0603775,-1.20274,0.527763,1.07367,0.691886,1.20265,-0.028501,0.349345,1.18334,-2.3912,-0.278633,0.639072,-0.265258,-0.275455,0.755393,-0.455273,0.418301,0.112214,-1.28759,-2.80053,1.96256,2.25871,4.37735,3.39802,0.704884,0.649384,-3.7787,-2.60807,-5.44618,2.4907,0.620136,-0.562152,-2.63551,2.80412,-2.02793,1.35576,0.926642,-0.106613,-0.41055,3.70894,-1.62101,-0.637195,-2.82514,0.0445422,-1.66021,-3.2357,0.7152,-0.0135311,0.414577,0.0913704,2.27979,1.44426,0.335401,-1.607,2.76512,-43.8756,-6.63506,-2.55226,0.336042,4.34815,-2.47201,-8.22039,-5.11997,-3.87135,-3.18397,-0.453612,-2.5744,1.02281,8.01825,-1.55178,-5.31065,1.44543,-8.4033,2.42769,2.15418,-7.27584,-0.674893,-8.40819,-7.6156,4.56636,-5.95095,-0.0751741,7.0285,-1.02324,-11.6061,-1.13537,2.28712,-5.47885,1.72545,1.29229,-1.35573,-11.8774
-3153.94,0.977036,0.0975622,5,31,0,3175.3,0.41071,-3.11655,0.87511,-0.174568,-1.001,-0.572724,0.724002,1.95491,0.0393222,-0.568398,1.30672,-0.596817,-2.01084,-0.219003,0.708521,-2.1265,-0.259865,0.577044,-1.05659,-0.604896,-2.07354,0.097105,1.26015,0.355988,1.17421,-0.862169,-0.274596,0.768797,-2.60738,-0.499834,0.219236,-1.15215,-0.738435,-0.0240093,-1.06136,0.271893,0.169081,2.54799,2.32809,1.90968,-0.990812,-2.86691,-7.00694,-2.4266,3.61186,0.37794,9.40235,0.355968,-4.10608,0.675349,5.56699,-1.26548,5.44053,2.76996,-2.49112,0.775623,1.02118,0.125905,-1.65991,-6.68462,-0.119169,0.18409,1.19749,0.257632,2.78996,-0.814736,-0.957601,-0.079814,-1.74885,-0.302339,-0.0252706,-2.7169,1.65549,-10.9719,86.8489,-4.21146,4.42362,2.23204,0.151626,0.717473,1.46152,1.09524,2.60149,0.401955,6.59827,0.188034,1.01372,-1.48557,-1.29058,25.3371,7.65565,0.337407,-6.8326,3.75512,-1.44572,1.51309,22.5273,2.2026,6.78626,-5.18808,-0.216497,3.05161,-7.28744,4.60351,3.67896,-2.4986,3.00155,-4.23866,5.57256,12.0068,24.3031
-3143.84,0.905146,0.144309,4,15,0,3166.16,0.300503,-1.96077,0.378266,-0.0152367,-0.496571,-0.147675,0.563479,0.979995,-0.122927,-0.171249,0.619499,-0.21871,-0.969225,0.161111,0.358371,-2.39543,-0.431833,0.558616,-0.508275,-1.38459,-2.4966,0.186694,0.920894,0.225924,1.32475,-0.463116,-0.374023,0.779789,-2.54761,-0.0391952,0.509328,-1.01125,-0.662585,0.279363,-1.01249,0.435299,0.23747,-1.77006,6.65716,0.67737,1.41765,-0.988878,-3.95213,1.13038,-0.781278,1.64426,-4.14579,-2.10109,-3.83433,-3.65655,-0.756808,-3.11079,4.29835,6.29111,-0.407005,-0.301151,-0.911318,-1.42501,0.166731,3.963,-2.20485,-0.913428,3.75041,-2.58783,-4.73461,-0.758135,1.28344,1.89104,-0.505586,-2.94763,-3.30124,-1.04485,2.53133,-0.56641,12.9603,-2.36522,0.627572,1.69334,-1.51436,2.43471,6.27677,-2.38693,-0.246573,-1.58249,6.77278,-2.13343,1.90493,1.97911,-7.14885,-9.32652,1.2076,-3.70975,0.673275,-2.55847,-1.76449,1.87391,-4.46942,-5.17071,4.96581,11.8005,-1.35469,1.10448,9.00051,9.4234,4.17526,-8.76421,-4.49495,-3.99166,-3.16872,9.15266,8.5258
-3142.99,1,0.0858074,5,31,0,3155.46,0.368905,-1.90931,0.16278,-0.16415,-0.809365,-0.529452,0.131662,0.803617,0.0339659,-0.242249,0.126507,-0.381381,-1.07683,-0.340704,0.551924,-2.24689,-0.31234,0.506266,-0.63822,-0.933114,-1.89163,-0.0642944,1.20194,0.81644,1.28862,-0.304725,-0.25094,0.776727,-2.63085,-0.371953,0.478107,-0.435046,-0.545288,0.466696,-1.09659,0.191574,0.0814449,0.254908,-2.04143,0.869912,-1.8131,-1.85361,2.99907,4.64123,-1.48423,2.9306,2.24871,-1.04723,-1.34559,-1.52244,2.32836,0.195348,4.28062,-2.09537,2.19835,1.24012,-4.08469,-0.231445,0.30334,0.602388,-1.50563,-0.0466053,0.636295,0.947498,1.73333,-1.93212,1.13408,-2.17122,-1.17574,2.98217,-0.442405,-2.44568,0.529882,-8.16986,17.2591,-1.25857,2.30083,4.58089,-3.91699,-1.45979,-2.91874,0.275905,8.52188,7.12565,-3.99693,-1.52177,3.47628,-10.6862,4.44567,1.6311,-3.48518,-10.243,-2.42951,-0.735277,0.782398,-3.59834,4.47285,12.4959,4.05154,10.4403,-4.78258,-0.474799,-2.0624,-1.14933,1.42346,8.41437,-0.877676,-0.0922292,-4.69891,0.495362,6.2509
-3142.09,0.989091,0.0819562,6,63,0,3163.7,0.0855246,-2.18143,0.171275,-0.181302,-0.807826,-0.555576,0.0406148,0.691068,-0.510115,-0.588755,0.108999,-0.384922,-1.19742,-0.112813,0.0233756,-1.69562,0.133217,1.10317,0.274926,-0.259875,-0.761236,0.61985,1.00499,0.764205,0.973746,-0.288413,0.370942,0.896111,-2.85389,0.415229,1.13453,-0.253115,0.192957,1.21737,-0.482723,0.913167,0.0312994,-2.65315,-0.165568,1.29496,-0.733447,-0.140166,-1.86549,-3.87942,0.505712,2.26475,-3.99014,-0.147542,-6.02147,1.89283,-2.44926,-2.74182,0.445932,-2.03242,-0.10209,2.26299,1.40932,0.34612,-1.03883,-0.926809,-0.00497893,3.83102,4.13782,3.32817,-3.01232,-2.73915,-0.233492,-0.754338,0.766668,-8.20455,-2.48372,1.40928,-0.755315,-11.0425,77.5059,-13.66,6.73847,9.66493,0.0658194,0.739804,-0.958712,-3.66134,-0.210752,0.900832,1.10688,5.46792,4.94866,6.81911,-4.70907,17.2052,-0.0200789,20.2907,5.4016,1.14048,7.24775,5.48861,-6.06355,10.0421,0.493342,-11.8951,13.7662,1.25302,2.54241,5.42749,2.30758,1.37546,5.22287,2.91378,1.1542,3.69448,17.4363
-3145.03,0.0346611,0.130753,5,63,0,3167.83,-0.0166162,-2.36941,0.0951231,-0.526408,-0.598371,-0.519917,0.250552,0.789309,-1.26693,-0.48879,0.490544,-0.531972,-1.62412,-0.106316,0.333565,-1.93188,-0.306466,0.725969,-0.235412,-0.309288,-1.7803,-0.0754775,0.880094,0.290029,0.557187,-0.678653,-0.321874,0.824627,-1.62631,0.445863,0.913336,0.482751,0.63879,0.942939,0.188029,0.838175,0.299555,3.62212,-1.51963,-0.622493,-0.134135,-0.249224,0.494308,4.42812,-0.93817,1.69875,1.48162,-5.0796,0.663419,0.945819,-1.35634,-0.502966,-3.82714,3.99904,4.43015,0.139698,-1.30636,-3.19331,-3.63713,5.83793,-0.76894,0.300879,4.01319,1.20568,1.23942,-0.532159,-3.69212,0.0547206,6.04068,-1.45772,2.47688,1.17413,0.566464,7.47915,70.86,-2.03474,1.73331,0.0465985,3.39299,1.93692,3.83062,-2.50905,-10.0038,3.07028,8.15356,4.22597,0.955773,4.91134,0.834169,8.06382,2.33703,12.2629,3.46255,8.23979,-0.239839,-1.87129,9.59823,1.08331,-1.69989,-2.02844,-4.46382,5.77543,17.1788,-7.1538,1.44249,19.4881,23.8774,2.09948,-1.82687,7.16627,25.9036
-3148.44,0.932416,0.115506,6,95,0,3163.7,0.0469912,-2.84408,0.97521,-0.0650928,-0.408213,-0.701626,1.2805,2.04752,0.09986,-0.740252,1.2812,-0.0823691,-1.60959,-0.274263,1.0073,-2.05477,-0.0709355,0.520583,-0.264835,-1.02826,-1.83601,0.0832432,1.01812,0.561486,1.35756,-0.618863,-0.125853,0.615954,-2.1376,0.372479,0.57762,-0.1882,0.0323385,0.765664,-0.374325,0.627155,0.152553,-2.75252,2.56335,-1.49598,-0.891978,-0.701323,2.56666,0.0373176,2.4883,2.29462,0.382677,-1.11305,-1.42233,0.907103,-3.5215,2.08198,1.41576,5.90511,-0.497175,-0.240458,0.185997,-0.548883,4.43745,0.170275,-0.712305,5.14219,-0.0864582,-2.09276,-0.824163,1.15273,0.294047,0.645106,-0.117915,-1.21502,1.35426,4.52264,-2.21311,-4.55752,-39.7824,7.2024,2.99651,-1.959,0.974035,-2.92648,5.57343,1.05669,0.953494,-8.73501,4.81825,0.624093,-0.144495,-8.75617,-1.485,1.62052,6.04107,-11.1264,0.320737,-4.28913,-1.78287,-2.33082,-1.22457,2.65931,7.25887,-6.10115,-3.78159,-2.4023,-1.2973,8.86985,-9.25039,-5.36493,-2.23151,-1.13153,-7.9976,2.89461,-6.19204
-3140.52,0.720134,0.103813,5,63,0,3153.46,0.272188,-2.34422,0.743263,0.0510633,-0.629982,-0.292744,0.322771,1.59469,0.052993,-0.131049,0.529971,0.255529,-0.855682,0.220218,1.38185,-1.72406,-0.293628,0.419392,-0.450746,-0.682052,-1.21551,-0.132728,0.872021,0.427206,0.692401,-0.491742,-0.137378,0.832514,-2.34418,-0.328941,0.607467,-0.607918,-0.395391,0.336588,-0.925851,0.223669,-0.0323561,-1.81523,2.94558,3.05928,-0.946522,-0.524385,-1.43494,2.91862,1.50271,1.59274,2.76561,-2.52602,-1.03903,-0.792916,1.25395,0.464826,-1.11029,-2.59311,2.77396,-0.292341,-1.18206,0.555121,3.20138,-1.41755,2.63288,1.73749,3.0209,-3.45108,-2.25524,2.54443,3.25011,1.71684,2.75863,1.33275,-1.85678,1.33153,0.532683,2.56053,15.2147,2.72248,5.19601,-1.15403,-2.82819,-1.57667,-9.57051,2.6223,1.05296,-0.151617,-3.58364,7.24189,3.99426,-0.29275,7.50241,6.07082,-8.52059,-6.8152,-1.9516,0.184303,5.76306,-6.9358,13.0355,8.38592,0.303311,-2.51209,0.426525,6.48366,4.49802,-2.18712,9.92714,0.312722,1.3088,-2.1076,-6.3184,3.18373,4.463
-3146.4,1.35286e-06,0.241462,1,3,0,3157.64,0.262415,-2.03163,0.571816,0.305694,-0.241419,0.426646,0.847664,1.4253,0.551301,-0.0227906,0.690647,0.610069,-0.659128,0.511082,1.02642,-2.41078,-0.178795,1.02102,-0.151139,-0.552789,-1.78806,0.2134,1.63044,0.666597,1.20612,-0.858874,0.144544,0.780816,-2.46421,-0.726243,0.174066,-1.12545,-1.06429,0.184185,-1.21871,-0.311667,-0.130928,9.87755,2.96554,-0.197538,2.00144,-0.913294,3.62214,0.237997,-0.868721,-1.27007,1.63876,-1.48966,-2.10975,-0.0235021,-2.83314,2.31,2.18636,-2.49312,-2.61248,0.756416,0.946457,0.263001,-2.59129,3.82653,0.710845,-2.02021,0.581621,0.912154,-1.60679,-0.370537,1.36832,1.24345,0.910107,2.9051,0.286669,-0.341138,0.707953,-5.48,30.8109,5.12955,-4.19676,-0.32803,-3.46239,5.18359,3.33526,-1.31509,6.20533,-5.52899,-2.27678,14.9134,0.373265,4.30347,2.0641,4.30774,-0.576933,1.44027,1.57235,2.43595,2.19401,-1.18804,11.0645,-0.709652,0.526873,-8.27345,6.03203,-2.21442,0.761998,-0.164508,7.19128,-1.2548,-6.20635,6.1657,1.43601,-1.45503,3.09093
