# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=643996713
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=100
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sn_mean_logit_score_prior,sn_sd_log_sd_student_logit_score_prior,sn_student_logit_score_prior.1,sn_student_logit_score_prior.2,sn_student_logit_score_prior.3,sn_student_logit_score_prior.4,sn_student_logit_score_prior.5,sn_student_logit_score_prior.6,sn_student_logit_score_prior.7,sn_student_logit_score_prior.8,sn_student_logit_score_prior.9,sn_student_logit_score_prior.10,sn_student_logit_score_prior.11,sn_student_logit_score_prior.12,sn_student_logit_score_prior.13,sn_sd_log_sd_evaluator_logit_score_prior,sn_evaluator_logit_score_prior.1,sn_evaluator_logit_score_prior.2,sn_evaluator_logit_score_prior.3,sn_evaluator_logit_score_prior.4,sn_evaluator_logit_score_prior.5,sn_evaluator_logit_score_prior.6,sn_evaluator_logit_score_prior.7,sn_evaluator_logit_score_prior.8,sn_evaluator_logit_score_prior.9,sn_evaluator_logit_score_prior.10,sn_evaluator_logit_score_prior.11,sn_evaluator_logit_score_prior.12,sn_sd_log_sd_dimension_logit_score_prior,sn_dimension_logit_score_prior.1,sn_dimension_logit_score_prior.2,sn_dimension_logit_score_prior.3,sn_dimension_logit_score_prior.4,sn_dimension_logit_score_prior.5,sn_dimension_logit_score_prior.6,sn_dimension_logit_score_prior.7,sn_mean__d_logit_score__d_ntest_prior,p_sn_mean_logit_score_prior,p_sn_sd_log_sd_student_logit_score_prior,p_sn_student_logit_score_prior.1,p_sn_student_logit_score_prior.2,p_sn_student_logit_score_prior.3,p_sn_student_logit_score_prior.4,p_sn_student_logit_score_prior.5,p_sn_student_logit_score_prior.6,p_sn_student_logit_score_prior.7,p_sn_student_logit_score_prior.8,p_sn_student_logit_score_prior.9,p_sn_student_logit_score_prior.10,p_sn_student_logit_score_prior.11,p_sn_student_logit_score_prior.12,p_sn_student_logit_score_prior.13,p_sn_sd_log_sd_evaluator_logit_score_prior,p_sn_evaluator_logit_score_prior.1,p_sn_evaluator_logit_score_prior.2,p_sn_evaluator_logit_score_prior.3,p_sn_evaluator_logit_score_prior.4,p_sn_evaluator_logit_score_prior.5,p_sn_evaluator_logit_score_prior.6,p_sn_evaluator_logit_score_prior.7,p_sn_evaluator_logit_score_prior.8,p_sn_evaluator_logit_score_prior.9,p_sn_evaluator_logit_score_prior.10,p_sn_evaluator_logit_score_prior.11,p_sn_evaluator_logit_score_prior.12,p_sn_sd_log_sd_dimension_logit_score_prior,p_sn_dimension_logit_score_prior.1,p_sn_dimension_logit_score_prior.2,p_sn_dimension_logit_score_prior.3,p_sn_dimension_logit_score_prior.4,p_sn_dimension_logit_score_prior.5,p_sn_dimension_logit_score_prior.6,p_sn_dimension_logit_score_prior.7,p_sn_mean__d_logit_score__d_ntest_prior,g_sn_mean_logit_score_prior,g_sn_sd_log_sd_student_logit_score_prior,g_sn_student_logit_score_prior.1,g_sn_student_logit_score_prior.2,g_sn_student_logit_score_prior.3,g_sn_student_logit_score_prior.4,g_sn_student_logit_score_prior.5,g_sn_student_logit_score_prior.6,g_sn_student_logit_score_prior.7,g_sn_student_logit_score_prior.8,g_sn_student_logit_score_prior.9,g_sn_student_logit_score_prior.10,g_sn_student_logit_score_prior.11,g_sn_student_logit_score_prior.12,g_sn_student_logit_score_prior.13,g_sn_sd_log_sd_evaluator_logit_score_prior,g_sn_evaluator_logit_score_prior.1,g_sn_evaluator_logit_score_prior.2,g_sn_evaluator_logit_score_prior.3,g_sn_evaluator_logit_score_prior.4,g_sn_evaluator_logit_score_prior.5,g_sn_evaluator_logit_score_prior.6,g_sn_evaluator_logit_score_prior.7,g_sn_evaluator_logit_score_prior.8,g_sn_evaluator_logit_score_prior.9,g_sn_evaluator_logit_score_prior.10,g_sn_evaluator_logit_score_prior.11,g_sn_evaluator_logit_score_prior.12,g_sn_sd_log_sd_dimension_logit_score_prior,g_sn_dimension_logit_score_prior.1,g_sn_dimension_logit_score_prior.2,g_sn_dimension_logit_score_prior.3,g_sn_dimension_logit_score_prior.4,g_sn_dimension_logit_score_prior.5,g_sn_dimension_logit_score_prior.6,g_sn_dimension_logit_score_prior.7,g_sn_mean__d_logit_score__d_ntest_prior
-3776.85,1,0.03125,2,3,0,15509.3,0.51161,-1.89986,-1.74698,-0.806498,0.296358,-0.818548,-1.50552,1.50077,-1.33,0.692572,-0.602508,1.7616,-1.82004,-1.65877,-1.46004,-1.89469,-0.636822,-0.37288,-0.204247,-0.977499,-1.39291,1.64827,0.94758,-0.112199,-1.47117,-0.0320717,-0.429834,-0.222745,-2.78461,-1.03664,1.11351,0.980689,0.447495,0.389958,-0.718402,0.427226,1.00148,11.7341,8.71915,-1.7586,1.35504,-0.725449,-0.512969,0.790594,1.12324,1.21205,1.1739,0.570312,3.75943,0.854901,-0.487556,-1.4639,87.9719,-22.5411,-5.29922,1.2125,-2.34817,-2.07399,8.93348,27.3393,6.33281,-9.8079,15.6876,5.20236,-0.475591,107.224,-25.7987,14.6532,26.4811,11.7473,4.72403,-20.1664,4.60009,5.76035,267.292,463.58,-63.0745,13.8283,32.5806,7.86774,-50.2418,64.3352,-10.8955,77.4545,-12.8834,131.653,3.25076,-44.5819,-30.2312,82.9593,12.2037,-37.3542,7.95343,2.53862,10.7792,39.3266,44.4775,4.61448,-30.8553,59.9552,13.4005,-3.28273,43.6793,-13.6788,12.8511,38.5718,22.3281,-3.02858,8.17428,4.92822,147.905
-3143.41,0.511185,0.130968,5,31,0,3159.7,0.250153,-2.78582,0.281127,-0.167106,-0.274236,-0.407718,1.12607,1.75362,-0.440155,-0.0893779,0.962438,0.172822,-1.45354,0.333484,0.433473,-1.61332,-0.395091,0.289885,-0.573892,-0.966333,-1.23837,0.0850213,0.497377,0.0442269,0.353046,-0.415883,-0.197706,0.137942,-1.67527,0.122735,0.301347,-0.303498,-0.0161247,0.403764,-0.119514,0.267575,0.14345,12.8035,-6.03553,-0.17071,3.44335,-0.0919814,1.24713,0.872682,2.19057,-0.816974,1.47962,-2.35937,-4.64113,1.70634,1.10051,3.93354,-1.13409,-7.21775,-0.488112,-0.0352653,5.81423,0.110511,0.392351,-3.11792,7.25024,-5.55189,5.46974,-1.91961,0.764129,2.57129,-0.369045,1.76702,-1.25281,2.17092,-0.0962396,-0.49709,-1.66218,-4.92717,8.43672,-5.14063,-5.57608,-2.14207,2.33715,-0.630976,5.73764,-0.61527,-2.56077,2.06767,2.50332,5.89794,1.03249,1.82871,-5.54727,-12.4421,-4.2732,-3.16255,-2.91754,-4.79695,6.47571,5.1515,-2.38214,-8.72694,-2.11142,16.2151,8.37679,-5.49121,-4.23833,10.2398,-11.7729,-11.2878,6.00818,-3.98333,17.9773,-1.98719,4.95924
-3147.33,0.947524,0.0586796,5,31,0,3161.76,0.532704,-1.90872,0.215625,0.0100034,-0.131197,-0.307984,0.415055,1.08897,-0.0736702,-0.154248,0.610428,-0.172537,-1.03687,-0.0444252,0.612758,-2.20765,-1.03684,0.203151,-0.64286,-1.1631,-2.54969,0.0664858,0.598737,0.40458,0.0632102,-0.848885,-0.798333,0.284245,-2.07858,-0.71968,0.221767,-0.800305,-0.703002,0.16937,-0.700606,0.0456872,0.198771,4.48412,0.809375,-2.5791,-0.514223,-2.56975,0.0928536,-1.38276,-1.24555,-1.88996,2.5192,1.70062,2.7852,-0.108924,-2.53877,1.38057,0.396336,-2.64911,-1.73908,0.124158,5.34616,-1.59595,1.73955,1.17889,-4.12021,-2.91023,-1.40044,-4.7936,-2.40822,1.93081,-2.52234,1.15297,-0.150362,-0.230339,1.82839,-0.170028,2.1334,12.8721,36.3597,3.50978,-5.32419,4.20854,6.39777,-1.05438,1.44828,5.10839,1.12544,0.664584,9.29528,0.54966,-0.125265,-5.82614,1.45603,5.09631,-15.3239,-1.95921,2.3224,1.60317,-1.63635,5.08356,1.75861,18.4744,-5.0259,9.74939,-6.67644,-0.058153,4.56321,-14.3461,9.48003,-2.34659,-5.90799,4.79062,11.2786,9.5805,15.35
-3149.36,0.988127,0.0474987,6,95,0,3169.85,0.219565,-2.82295,0.602983,-0.0230478,-0.553504,-0.332735,0.200042,1.31731,-0.414355,-0.540176,0.0146581,-0.245044,-1.533,-0.228872,0.683506,-1.70422,-0.215649,0.530055,-0.0742286,-0.660902,-1.41863,0.296721,0.920361,0.36511,0.647103,-0.499203,-0.0275663,0.311186,-3.71303,-0.412032,1.64812,-0.826093,-0.501086,1.32058,-0.881123,0.674307,0.0732132,-2.29605,-0.411899,2.43565,0.142285,2.95574,2.42418,-2.66571,-0.78183,3.58013,-0.375438,0.0143696,0.0747921,0.423563,-1.21171,0.713293,-9.26265,-2.49936,-3.18708,-0.783367,-3.56648,1.23148,-3.37209,0.441078,0.355797,2.14914,1.46455,2.76637,2.00978,-4.15897,0.184211,2.51836,0.463811,-0.687571,-2.19285,1.92894,0.551624,12.4153,-80.9795,-13.6149,1.76248,2.33088,1.18839,0.699918,-6.20059,-5.45096,-1.3004,-1.9441,-9.34057,1.3529,1.4051,-4.08683,-1.7833,2.30384,-13.929,-8.46424,2.25459,-3.05853,-2.10856,2.88001,7.6208,-6.08424,-2.13291,-10.5589,-2.13126,-8.22832,-8.73213,-3.71951,0.77771,-1.23178,-1.94166,-2.02096,0.878756,-2.68148,-19.6531
-3143.57,0.980046,0.055553,7,127,0,3158.32,0.499982,-1.68916,0.333586,-0.0708354,-0.284897,0.197473,0.244044,1.12205,0.0191959,0.0223369,0.158512,-0.113248,-0.470587,0.0953626,0.591027,-1.12675,-0.392225,-0.0953366,-0.463225,-0.822675,-1.60584,-0.175128,0.0648611,-0.190533,0.204577,-0.568297,-0.52136,-0.129736,-2.90891,0.0986351,1.00869,-0.500736,-0.219832,1.39056,-0.65909,0.426361,-0.103602,-4.68106,1.91008,2.26646,-0.662749,0.458518,0.054449,-1.30836,-1.25525,1.43319,2.1378,-0.688813,4.3695,-1.79439,-0.707313,-1.41872,3.66923,-3.10976,-1.12064,-0.556321,-4.31389,1.553,-0.686111,-2.44027,-4.36753,1.02492,-3.18426,2.09349,1.64419,0.619058,-1.88693,0.0257795,-3.30593,-0.83844,-1.37394,-1.21524,-0.255918,0.652614,-9.33502,-0.625775,-0.207347,-8.27097,0.985232,10.3453,-11.4449,10.1796,2.73822,8.7682,-16.274,-7.24371,10.4217,-2.65279,-0.899942,1.15025,26.029,-14.5322,4.57875,-1.24025,-11.027,6.93298,-15.9427,-9.28751,7.0234,17.3261,-14.8735,-7.65529,0.930976,0.421494,0.619778,-1.80173,-1.50788,6.64486,-0.434146,-4.71603,-8.75848
-3145.21,0.999812,0.0480332,5,31,0,3164.36,0.228326,-2.29507,-0.174898,-0.346486,-0.813671,-0.829706,0.452553,0.952009,-0.19187,-0.287555,0.330123,-0.18917,-1.36835,-0.316226,0.609708,-2.13937,0.19931,1.35406,-0.203591,-0.113318,-1.39195,0.561356,1.3691,1.15103,1.39213,-0.189967,0.5587,1.31354,-2.89244,-0.140538,0.428081,-0.97171,-0.878473,0.571933,-1.04141,0.0919797,-0.123142,1.03125,3.91017,1.00162,-0.903418,0.805826,3.37039,-0.329951,0.192736,-3.58093,1.82428,-2.73611,-2.35315,0.803639,3.05762,-0.853091,-4.62957,6.17695,-1.74491,0.627546,-1.88761,-2.67295,3.55069,3.78508,-3.92531,1.03713,-0.787779,3.90885,-3.5254,0.126872,1.79814,-3.71433,2.41454,-1.79513,-1.77237,-1.13695,0.660308,-3.14582,-2.95299,-2.70345,-10.0157,-2.41455,-1.18829,-4.68179,5.25407,-3.91318,2.7424,6.29967,2.42068,4.2956,1.12757,-4.76662,1.51901,-2.32982,-3.90384,6.00762,-3.16153,3.01276,0.200015,-1.83977,-9.02235,8.39698,0.0358765,-5.25124,9.34257,0.904985,-2.65563,5.13345,-1.11361,-1.71911,-5.09194,0.60121,1.37802,-1.88664,-10.1511
-3142.27,0.854993,0.100112,6,63,0,3163.47,-0.16665,-2.66583,0.432642,-0.186232,-0.297513,-1.02343,0.515092,1.61594,-0.374793,-0.505124,0.334669,-0.49664,-2.19586,-0.301106,0.649799,-2.09623,0.221392,1.02741,-0.0514927,0.153248,-1.22935,0.66404,1.41893,1.01293,1.21231,-0.228496,0.210915,0.919981,-1.77635,0.627785,0.985945,0.149072,0.312658,0.848736,0.137472,0.690681,0.0653837,-5.61946,4.51368,-4.82695,-4.13542,0.660823,-4.79274,-3.94174,0.720944,1.04239,-5.24327,-0.61993,1.31572,0.448056,-1.98411,0.874059,-0.56556,1.9302,2.68406,-0.901922,0.116145,0.241954,-4.25205,-0.480299,1.43526,-0.0333696,0.988937,-3.65383,-2.94916,1.29183,4.78186,-0.451959,5.28652,1.6939,-2.49854,-1.06644,-1.97769,4.77078,-19.5008,3.97758,1.8531,1.50159,3.95035,-4.45574,1.13958,2.98302,-0.540982,-0.394598,-2.51356,-1.5234,-4.25345,-4.38204,-0.590109,-11.4139,1.20603,-4.8131,-0.995663,6.81079,2.2223,1.12864,-0.673659,6.14323,-1.13412,-4.43548,-4.5609,-3.57108,-2.0503,13.3715,6.97233,-8.45431,-5.24172,-6.90668,0.125989,-6.10661,-6.7393
-3149.77,0.321251,0.209615,3,9,1,3167.43,0.297868,-2.72823,0.635497,-0.345202,-0.585748,-0.371866,0.655337,1.94946,-0.37757,-0.378261,1.28301,-0.205438,-1.86017,0.138508,1.25082,-1.95982,-0.176346,0.648712,-0.0782617,-1.01028,-1.66317,0.436042,0.942778,0.519337,0.694109,-0.540439,-0.140723,0.282346,-3.2462,-0.933693,0.422011,-1.68747,-0.501718,0.186246,-1.86294,-0.432659,0.266065,-0.634838,0.916138,-3.37974,2.17423,-0.119575,-2.78589,1.15145,-1.53594,0.880812,0.392143,1.27874,-1.02318,-2.48261,3.50748,-2.04331,-3.18988,-1.18149,-0.695888,3.52803,1.28616,-3.55216,6.01356,1.40064,-1.18034,3.35395,0.957436,6.07698,2.04404,1.96781,-2.19144,-0.569632,0.526125,-1.70516,-1.77343,2.39388,1.70235,1.52371,27.8956,10.5767,1.09201,-3.89829,0.176489,-0.054553,-0.230768,4.65913,-2.02466,-2.30633,8.73516,1.93167,-2.00593,-0.466068,3.55361,0.335557,3.67372,1.30348,4.21394,-3.79819,0.453783,5.42341,3.71236,7.20021,-1.73556,-0.731893,-0.183747,-7.05817,-4.42816,-0.744581,2.25166,-2.69567,7.87603,-1.3504,-1.38616,-3.61209,14.4712
-3151.01,0.941418,0.124516,5,31,0,3171.7,0.241779,-2.90505,1.17947,-0.0713691,-0.0441285,-0.660881,0.918124,2.42423,0.451425,-0.787039,0.811346,0.0907872,-1.16142,0.676578,0.987827,-2.14172,-0.29918,0.567945,-0.497102,-0.815207,-1.86162,0.45403,0.818684,0.30789,0.388622,-1.09751,-0.220199,0.329977,-2.15795,-0.202985,0.282169,-0.23993,-0.275124,0.393501,-0.444002,0.393218,0.0684209,4.76495,-0.759583,-1.46894,2.49974,-0.793149,-1.94134,-4.31389,0.456819,-0.946929,-1.52718,-3.20548,-1.04833,1.7527,-3.81045,2.73695,-1.29088,-1.0538,-1.95133,2.86391,-2.59418,-0.982059,3.62468,-3.84496,0.661635,-0.0882226,1.66862,4.84785,-3.51012,1.68336,0.15242,-1.79114,3.79114,-0.474987,2.1029,-5.88896,0.41407,12.0134,-22.3215,3.02949,4.55132,-2.99104,2.36828,-3.47584,-0.789697,3.89044,2.47059,-9.24952,-2.58547,1.42673,1.94535,3.717,-1.79596,-1.75432,4.79465,-0.209845,-0.109668,1.24916,1.18652,6.73913,-3.3612,-0.610319,-4.7644,-14.5461,2.23771,-3.58112,-5.65761,-6.52613,-9.85423,7.29162,-3.27046,-5.8426,3.92341,5.23466,-6.21307
-3144.31,0.968355,0.102357,5,31,0,3168.31,0.344013,-2.33498,0.195795,-0.383368,-1.09711,-0.448887,0.283316,0.957837,-1.06306,-0.68629,-0.0647788,-0.588108,-1.48587,-0.274566,0.242407,-2.34994,-0.313546,0.547547,-0.187983,-1.00248,-1.86197,0.70093,1.4714,0.735785,1.50753,-0.622104,0.0214361,0.954354,-1.95332,-0.0377274,0.425104,-0.523762,-0.0476747,0.4605,-0.405809,0.153028,-0.0469431,2.32106,-3.39479,1.81341,2.43698,-1.28595,0.856468,-0.115405,-4.29205,-1.18924,-0.295744,-0.203936,-5.61377,2.06483,-1.68977,0.733832,-7.66355,-6.7196,-3.81949,-2.21298,2.43285,-1.67881,0.303703,-0.828315,-7.83028,6.01669,2.77024,-0.51401,-1.98376,1.92209,-0.332767,1.39475,0.534989,1.07223,-1.81863,0.628826,-3.0741,1.31215,-41.0947,0.176959,3.27627,-0.168714,-2.78632,2.42259,2.61113,-1.53178,-7.86191,-2.22267,-6.86916,-3.03069,1.93137,-0.892267,-3.83051,-0.433918,-8.86043,-14.6729,1.06771,-1.91005,0.905872,3.83569,5.89722,1.20249,3.71365,-3.89083,0.924763,-0.652266,0.940894,-0.0750808,-1.43761,-15.7135,7.37033,-1.00535,0.966312,-9.02463,-14.2197
