# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=643996713
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=100
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sn_mean_logit_score_prior,sn_sd_log_sd_student_logit_score_prior,sn_student_logit_score_prior.1,sn_student_logit_score_prior.2,sn_student_logit_score_prior.3,sn_student_logit_score_prior.4,sn_student_logit_score_prior.5,sn_student_logit_score_prior.6,sn_student_logit_score_prior.7,sn_student_logit_score_prior.8,sn_student_logit_score_prior.9,sn_student_logit_score_prior.10,sn_student_logit_score_prior.11,sn_student_logit_score_prior.12,sn_student_logit_score_prior.13,sn_sd_log_sd_evaluator_logit_score_prior,sn_evaluator_logit_score_prior.1,sn_evaluator_logit_score_prior.2,sn_evaluator_logit_score_prior.3,sn_evaluator_logit_score_prior.4,sn_evaluator_logit_score_prior.5,sn_evaluator_logit_score_prior.6,sn_evaluator_logit_score_prior.7,sn_evaluator_logit_score_prior.8,sn_evaluator_logit_score_prior.9,sn_evaluator_logit_score_prior.10,sn_evaluator_logit_score_prior.11,sn_evaluator_logit_score_prior.12,sn_sd_log_sd_dimension_logit_score_prior,sn_dimension_logit_score_prior.1,sn_dimension_logit_score_prior.2,sn_dimension_logit_score_prior.3,sn_dimension_logit_score_prior.4,sn_dimension_logit_score_prior.5,sn_dimension_logit_score_prior.6,sn_dimension_logit_score_prior.7,sn_mean__d_logit_score__d_ntest_prior,p_sn_mean_logit_score_prior,p_sn_sd_log_sd_student_logit_score_prior,p_sn_student_logit_score_prior.1,p_sn_student_logit_score_prior.2,p_sn_student_logit_score_prior.3,p_sn_student_logit_score_prior.4,p_sn_student_logit_score_prior.5,p_sn_student_logit_score_prior.6,p_sn_student_logit_score_prior.7,p_sn_student_logit_score_prior.8,p_sn_student_logit_score_prior.9,p_sn_student_logit_score_prior.10,p_sn_student_logit_score_prior.11,p_sn_student_logit_score_prior.12,p_sn_student_logit_score_prior.13,p_sn_sd_log_sd_evaluator_logit_score_prior,p_sn_evaluator_logit_score_prior.1,p_sn_evaluator_logit_score_prior.2,p_sn_evaluator_logit_score_prior.3,p_sn_evaluator_logit_score_prior.4,p_sn_evaluator_logit_score_prior.5,p_sn_evaluator_logit_score_prior.6,p_sn_evaluator_logit_score_prior.7,p_sn_evaluator_logit_score_prior.8,p_sn_evaluator_logit_score_prior.9,p_sn_evaluator_logit_score_prior.10,p_sn_evaluator_logit_score_prior.11,p_sn_evaluator_logit_score_prior.12,p_sn_sd_log_sd_dimension_logit_score_prior,p_sn_dimension_logit_score_prior.1,p_sn_dimension_logit_score_prior.2,p_sn_dimension_logit_score_prior.3,p_sn_dimension_logit_score_prior.4,p_sn_dimension_logit_score_prior.5,p_sn_dimension_logit_score_prior.6,p_sn_dimension_logit_score_prior.7,p_sn_mean__d_logit_score__d_ntest_prior,g_sn_mean_logit_score_prior,g_sn_sd_log_sd_student_logit_score_prior,g_sn_student_logit_score_prior.1,g_sn_student_logit_score_prior.2,g_sn_student_logit_score_prior.3,g_sn_student_logit_score_prior.4,g_sn_student_logit_score_prior.5,g_sn_student_logit_score_prior.6,g_sn_student_logit_score_prior.7,g_sn_student_logit_score_prior.8,g_sn_student_logit_score_prior.9,g_sn_student_logit_score_prior.10,g_sn_student_logit_score_prior.11,g_sn_student_logit_score_prior.12,g_sn_student_logit_score_prior.13,g_sn_sd_log_sd_evaluator_logit_score_prior,g_sn_evaluator_logit_score_prior.1,g_sn_evaluator_logit_score_prior.2,g_sn_evaluator_logit_score_prior.3,g_sn_evaluator_logit_score_prior.4,g_sn_evaluator_logit_score_prior.5,g_sn_evaluator_logit_score_prior.6,g_sn_evaluator_logit_score_prior.7,g_sn_evaluator_logit_score_prior.8,g_sn_evaluator_logit_score_prior.9,g_sn_evaluator_logit_score_prior.10,g_sn_evaluator_logit_score_prior.11,g_sn_evaluator_logit_score_prior.12,g_sn_sd_log_sd_dimension_logit_score_prior,g_sn_dimension_logit_score_prior.1,g_sn_dimension_logit_score_prior.2,g_sn_dimension_logit_score_prior.3,g_sn_dimension_logit_score_prior.4,g_sn_dimension_logit_score_prior.5,g_sn_dimension_logit_score_prior.6,g_sn_dimension_logit_score_prior.7,g_sn_mean__d_logit_score__d_ntest_prior
-12438,1,0.015625,1,1,0,40673.2,0.676893,-0.614244,1.16972,-0.703023,0.375355,-1.13896,-0.564662,-1.39271,-1.11881,0.34465,1.03012,-0.476074,0.443618,1.37495,-0.979875,0.344819,-1.25601,-1.19104,0.983467,1.58095,-1.23991,-0.170977,1.91395,0.903168,-1.3303,-0.830626,0.166603,-1.62398,0.15603,-1.2881,-0.981199,1.35724,1.3504,0.217207,0.691621,-0.24378,1.71811,-3.7614,172.212,20.9736,-16.5366,2.06034,-11.9777,-18.4405,-37.8691,-9.02069,9.40267,15.9726,-9.03306,5.58361,23.3152,-14.2362,70.6959,-14.6821,-14.8246,2.16825,2.90073,-0.682219,-0.375119,15.5339,6.68248,-4.60334,-5.48445,3.65495,-4.412,117.218,-31.0603,-30.8597,23.4001,21.624,-6.08278,12.3354,-14.1717,-1.02103,295.789,918.404,176.341,-20.1719,44.0255,-54.5673,-66.1902,-242.709,-83.1414,126.864,138.617,53.2708,88.2978,231.305,-52.2763,5191.4,-895.278,-882.223,243.074,321.996,-58.1831,63.3095,1311.28,890.929,-303.319,-161.534,493.325,-361.963,3136.01,-753.571,-729.458,907.08,865.697,-13.7802,558.342,-251.087,60.5055
-3141.33,0.0726843,0.23722,2,6,1,3162.49,-0.187463,-2.84045,0.456677,-0.517084,-0.707119,-0.411108,0.56278,1.31692,-0.773377,-0.55593,0.660423,-0.497482,-1.6759,-0.262797,0.929815,-1.96565,0.0516703,0.782507,-0.279812,-0.0985189,-1.81947,0.046333,1.10195,0.553881,0.595164,-0.158951,0.0152676,0.828962,-1.66035,0.559147,1.03271,0.310736,0.539955,1.03987,0.207704,0.899963,0.244316,-1.60487,2.06476,-1.49292,4.89351,-0.0633674,-0.71083,2.87982,-0.0956334,0.950661,-1.26305,-3.52538,3.54436,0.18687,-0.831462,-2.6567,4.2597,2.98367,3.67963,-0.459489,3.03749,3.32601,-2.96566,-6.17239,-0.0542457,2.14819,-5.14059,-4.8286,-3.1541,-0.839827,-1.73063,-1.27953,2.4285,3.44627,-1.73667,-1.85598,5.48597,-1.99031,31.1091,-8.34177,2.03874,-1.54403,1.28342,1.50332,1.97902,-2.26153,-2.75413,-0.00522303,2.2024,1.83648,1.86253,-2.17053,2.29091,-1.90972,9.28793,-0.713927,-1.29693,7.13046,-4.22496,-4.23992,3.79474,-0.0564007,-5.75707,11.713,-0.750971,0.918174,12.3349,0.0128899,7.83201,-3.69261,7.98733,6.17043,-4.02743,7.83571,14.7464
-3156.02,0.985318,0.0994956,5,31,0,3174.51,0.390562,-2.40283,0.271299,-0.503522,-0.848604,-0.51524,0.145826,1.03068,-0.911178,-0.824087,0.0929034,-0.488557,-1.41552,-0.503603,0.100201,-2.65552,-0.0743003,1.36563,0.031036,-0.84343,-1.98705,0.54903,1.28291,1.2772,0.760324,-0.93193,0.127872,0.957601,-2.94607,-0.157824,0.184682,-0.941574,-1.05815,0.184335,-0.965234,0.566943,0.0811216,2.84487,2.50971,-1.32804,-2.56863,-2.95364,0.959762,1.597,1.39195,1.27589,0.525808,-0.0140964,-0.614913,-2.50228,2.93179,-3.36095,3.62273,1.57277,8.43656,6.44475,4.05121,-2.71925,-1.50482,-5.31067,-1.70642,3.44922,2.90182,-0.0640951,2.69087,-1.17739,-5.32631,-1.77358,-1.67054,-2.39443,-2.0344,-0.684056,2.0832,4.09678,15.1034,-2.13296,6.7853,-0.0112516,0.323876,1.52531,0.972116,2.10004,-5.10773,-3.91846,-0.972529,3.43275,3.1381,-4.66487,-3.04679,-7.11513,2.82449,3.82673,2.25676,0.349465,1.7234,1.51484,-9.16254,11.1612,-4.20399,-5.6951,3.27902,-1.22552,-2.60774,5.7184,-4.66525,0.514207,-6.67853,-5.64465,4.38068,7.56816,4.73216
-3149.92,0.994767,0.0858762,5,63,0,3165.34,0.082937,-2.70737,0.212731,-0.248396,-0.963927,-0.620086,0.402817,1.45302,-0.638019,-0.548285,0.286312,-0.342271,-1.92807,0.00704056,1.13236,-1.71061,0.0531046,0.905139,-0.132845,-0.301068,-1.48764,0.195985,1.04138,0.49508,1.407,-0.0219362,0.239008,0.99115,-2.63267,-0.0983378,0.841289,-0.683154,-0.138114,1.31992,-0.390755,1.21961,0.0644563,-6.64383,-0.955627,0.750327,-3.36478,-2.15165,-0.292138,4.20445,-0.269615,-0.812555,-4.45655,-0.469793,-0.510436,-1.58414,1.92212,-0.0883938,1.96837,2.74452,1.27461,0.767825,1.89474,-1.12701,2.28619,5.1364,2.57349,4.28279,1.43888,-7.30269,-0.330176,-0.74827,2.4502,0.0502678,-0.123643,-3.853,0.0531297,1.1471,1.5893,9.21073,58.3237,-5.97916,-0.297458,2.42667,0.0517964,0.587115,0.802876,1.21622,-0.979116,0.933618,-1.51482,3.13911,-0.0276901,3.06969,4.5836,19.4171,-0.30548,10.1766,-0.905606,2.51795,-5.06415,-4.94682,4.02883,-8.63094,11.8202,12.3318,9.48454,4.37941,23.5518,-4.59693,0.427723,-9.46957,-0.619948,11.8098,3.96261,17.1821,19.031
-3149.42,0.955468,0.176718,4,15,0,3161.95,0.181233,-2.26599,0.43992,-0.0144358,-0.0903407,-0.959715,0.68966,1.15778,-0.294958,-0.0121181,0.582544,-0.199162,-0.849496,0.0499096,0.649481,-2.20034,-0.151216,1.01045,-0.48539,-0.752464,-1.72452,0.291897,1.33546,0.222893,0.880932,-0.492414,-0.212573,0.833409,-3.53019,0.112896,0.905896,-1.19561,-0.28546,0.836317,-1.25092,0.762589,0.147183,-3.23748,2.23784,-4.17393,-3.81395,0.0833799,1.1791,-5.32491,3.93433,4.80666,2.20754,0.468814,0.502679,-2.57328,-1.11778,-3.084,-0.657776,1.37209,-0.638945,0.534634,-0.553074,1.10917,-1.3766,0.713423,-0.805584,0.856692,-1.12908,-3.78978,0.918972,-0.450029,-1.09441,-2.0469,-1.46505,-1.0381,2.1356,0.80385,-0.788488,-0.696134,13.1055,-1.32422,0.59697,1.55383,5.23,-9.80934,5.59786,-3.04484,-2.62648,5.50082,1.24534,-0.459432,5.1911,-2.12016,-0.949635,4.00323,2.61554,8.25896,-1.46943,0.498031,1.60659,0.902778,11.7185,-14.4831,-1.10911,2.23405,-5.27675,0.238823,-7.18044,3.20007,-1.06762,-2.09659,2.48647,-2.30591,0.296347,1.3534,3.20179
-3149.57,0.847557,0.0689192,6,127,0,3174.75,0.171096,-2.61916,0.394919,-0.211069,-0.66805,-0.164674,0.30953,1.87374,0.36879,-0.132085,0.943751,0.054106,-1.49834,0.334383,1.26534,-2.04663,-0.0143313,1.15013,-0.291237,-0.355555,-1.89391,0.224608,1.21822,0.858737,1.40793,-0.371418,0.199039,1.15686,-3.34917,-0.926183,0.818903,-1.48978,-0.859183,0.825912,-1.18033,-0.0803446,0.0193829,-5.88166,-4.93365,-0.724139,-3.31008,0.846678,0.752168,3.55318,-0.902042,1.67386,0.814507,1.60379,1.48382,3.61724,0.102968,-3.82939,-3.39079,1.44504,-4.96745,-2.74364,-1.9092,-0.0278575,-2.79976,0.187496,-1.33474,-2.60973,3.09546,-4.08637,-4.33843,4.83618,0.520269,0.689011,-0.278788,-0.0734909,-1.42099,0.929857,2.9401,16.6352,27.7791,2.68228,-3.20769,-4.00353,-0.882717,1.19578,-7.26382,3.86819,4.8881,1.85211,4.7854,3.44444,-0.260132,3.00452,3.4048,18.8238,-3.69879,10.7247,-2.26346,2.32769,-4.8252,-3.3341,-0.211017,8.59364,5.13726,-4.14724,3.53813,3.27776,-4.12206,-3.18312,2.89566,-2.4194,0.634973,2.23261,4.20846,-2.46406,4.7199
-3153.66,0.96443,0.117879,5,31,0,3169.29,0.198913,-2.75205,0.119941,-0.424993,-0.502403,-0.45463,0.428379,1.47276,-0.0931275,-0.461949,0.635531,-0.901954,-1.94959,0.299944,0.548235,-2.27818,0.620813,1.35844,-0.337793,-0.227594,-0.740031,1.19791,1.86934,1.08136,1.07929,-0.287824,0.384732,1.1365,-2.35791,-0.693675,-0.199903,-1.17772,-1.12946,-0.114327,-1.17789,-0.151138,0.374212,-0.0424246,2.15345,1.84478,1.10103,1.90558,-0.224145,-2.07839,3.9208,0.482087,2.08165,0.054682,-4.74657,-2.03326,-0.446961,-1.26143,2.85457,-2.79578,-2.29197,0.913382,3.39453,0.76726,4.65181,1.10587,-0.262973,2.32403,2.23741,-0.725199,-3.17754,-1.81164,-0.768469,-0.850652,-1.55499,-3.32413,-2.68611,0.0288519,-0.18259,-2.5236,-29.1583,-3.42811,-4.83291,-1.74899,1.7568,0.380363,-1.16708,0.027652,1.21132,-1.16437,0.284646,-5.55895,-1.40925,4.51301,-1.29084,-5.80729,11.4364,-2.82173,-5.63265,0.104896,6.14522,5.87879,5.12247,-2.46961,-5.18371,-8.67143,-4.92536,-2.56263,5.32351,0.849835,-4.54897,-4.95014,-10.5323,-2.69078,1.55103,5.53887,-1.03682
-3148.73,0.968772,0.114548,5,63,0,3169.12,0.619188,-2.27267,-0.162353,-0.518458,-1.0965,-0.789488,0.0775823,0.761499,-0.00666913,-0.800738,0.194339,-0.359037,-1.90134,-0.528734,0.611134,-2.42085,-0.396472,0.454625,-0.661174,-1.35215,-2.47438,0.0899425,1.05109,0.110553,0.651497,-1.03043,-0.420331,0.445604,-3.30001,-0.251569,0.838426,-1.22174,-1.00044,0.672202,-1.18223,0.181527,-0.200403,3.72092,3.28293,-4.18735,-2.413,-3.74392,-1.9489,1.73813,0.350202,2.71999,1.6546,-0.358411,1.13716,1.74251,-2.14392,3.64271,0.833443,-5.75864,0.560125,0.0993067,7.48087,-1.93931,3.33521,-2.09328,1.93718,-1.05911,2.11832,0.635319,3.69088,1.07176,1.80833,-1.49927,-0.991787,-1.54106,-1.14316,1.41388,-4.21884,-4.3554,29.3118,3.01347,-2.59666,-1.27929,-2.14914,-1.35305,1.03637,-2.88614,8.53811,-1.7333,5.83287,5.37858,-3.56795,-4.58578,5.3586,-11.0688,8.72924,-2.05172,0.888834,-0.650862,0.115793,1.41113,5.17277,-5.17794,-1.43949,-1.32898,2.19457,-1.90913,-5.68996,2.94764,2.33929,-1.18656,-2.51599,-0.278474,2.67476,-0.787174,-4.03592
-3159.9,0.910945,0.105391,4,15,0,3184.22,0.434149,-3.05814,0.779987,0.0538466,-0.916615,-0.432078,1.22735,2.41949,-0.314845,-0.672353,0.78674,-0.380095,-1.56966,0.322173,1.13309,-1.70884,-0.541194,0.304641,-0.163629,-1.1894,-1.59379,-0.992172,0.373716,0.00923512,0.298564,-1.07375,-0.322322,0.00705512,-3.35609,-0.728784,1.0722,-1.42823,-1.02718,0.768119,-1.31232,0.204156,0.213766,-5.47469,-3.40108,-2.38024,-1.36503,-1.31364,0.23832,1.8624,0.335064,-1.47601,-2.55465,-2.94382,-1.81401,-0.660806,-2.36296,2.42079,-5.1089,-5.98477,0.517169,6.0799,1.3831,-4.99311,2.04254,1.48294,4.49286,-1.28158,-5.77691,0.181646,3.30979,2.9467,-3.31489,2.11614,2.74651,-4.24932,2.04351,0.10451,-0.693663,-3.85692,-30.3913,-0.108285,0.148241,1.15279,-2.33026,-1.32545,3.6025,3.27782,-2.00771,-4.95285,-2.07543,-1.22305,0.383471,0.505374,0.729608,20.7036,-0.921491,9.20251,9.34242,-4.7645,3.44856,-20.6573,-3.53121,1.32825,-0.505185,-20.2761,10.9955,-5.23817,0.807691,-3.09149,3.48069,-3.75453,-3.23657,-0.401485,0.704306,-1.48238,-3.37396
-3148.87,0.99993,0.0372722,7,255,0,3169.07,0.227238,-2.52911,0.977017,-0.277084,-0.526563,-0.368354,0.402158,1.4891,0.346859,0.161115,1.02787,0.0504877,-1.27138,0.717504,1.02176,-2.35088,0.17646,1.21337,-0.055837,-0.819784,-1.72385,0.408603,1.61351,0.718021,1.34481,-0.657066,-0.0338034,1.06038,-2.37237,-0.480709,-0.0709213,-1.00742,-0.58329,0.193829,-1.20691,-0.299557,0.0488433,-2.2536,-3.04921,-0.532434,3.33033,-1.25657,5.68714,6.56226,-1.93716,-1.77471,-2.49392,0.0648797,3.33999,-1.5395,5.29669,2.41205,3.97731,-1.89467,0.195373,-5.40961,1.61434,1.76428,0.0699309,-1.03924,0.216038,-1.4628,-1.7337,0.4366,4.32501,0.925683,-1.14284,1.88254,-0.910241,1.36046,-1.03378,0.397009,-2.06115,-11.0271,-38.524,-1.20704,5.54012,-10.1461,-2.08377,-3.01891,-9.47673,-5.35297,2.73893,3.94112,3.79432,-0.0676365,-0.919777,7.42185,-0.505046,-0.691221,5.61105,2.46818,0.834537,-1.68435,0.729502,-1.0874,5.14198,-5.27544,0.439123,-9.54953,-6.86234,-0.968444,3.92601,2.22824,-6.56654,-4.99173,4.30234,2.02132,-6.45058,-7.24708,-20.2554
